name,version,description,downloads,ranking
Newtonsoft.Json,13.0.3,Json.NET is a popular high-performance JSON framework for .NET,"6,011,704,986",1
Serilog,4.2.0,Simple .NET logging with fully-structured events,"1,665,559,700",2
AWSSDK.Core,3.7.402.29,The Amazon Web Services SDK for .NET - Core Runtime,"1,136,817,852",3
Castle.Core,5.2.1,"Castle Core, including DynamicProxy, Logging Abstractions and DictionaryAdapter","1,090,087,246",4
Newtonsoft.Json.Bson,1.0.3,Json.NET BSON adds support for reading and writing BSON,"916,142,651",5
Swashbuckle.AspNetCore.Swagger,8.0.0,Middleware to expose Swagger JSON endpoints from APIs built on ASP.NET Core,"895,748,284",6
Swashbuckle.AspNetCore.SwaggerGen,8.0.0,Swagger Generator for APIs built on ASP.NET Core,"894,743,659",7
Polly,8.5.2,"Polly is a .NET resilience and transient-fault-handling library that allows developers to express resilience and transient fault handling policies such as Retry, Circuit Breaker, Timeout, Bulkhead Isolation,...
More information","847,114,701",8
AutoMapper,14.0.0,A convention-based object-object mapper.,"790,892,377",9
Moq,4.20.72,Moq is the most popular and friendly mocking framework for .NET.,"786,138,864",10
Swashbuckle.AspNetCore.SwaggerUI,8.0.0,Middleware to expose an embedded version of the swagger-ui from an ASP.NET Core application,"766,151,655",11
Swashbuckle.AspNetCore,8.0.0,Swagger tools for documenting APIs built on ASP.NET Core,"704,286,635",12
Serilog.Sinks.File,6.0.0,Write Serilog events to text files in plain or JSON format.,"700,662,103",13
Google.Protobuf,3.30.2,C# runtime library for Protocol Buffers - Google's data interchange format.,"685,192,012",14
Serilog.Sinks.Console,6.0.0,A Serilog sink that writes log events to the console/terminal.,"674,248,369",15
Serilog.Extensions.Logging,9.0.1,Low-level Serilog provider for Microsoft.Extensions.Logging,"626,676,031",16
xunit,2.9.3,"xUnit.net is a developer testing framework, built to support Test Driven Development, with a design goal of extreme simplicity and alignment with framework features.

Installing this package installs...
More information","623,347,340",17
StackExchange.Redis,2.8.31,"High performance Redis client, incorporating both synchronous and asynchronous usage.","601,338,057",18
FluentValidation,11.11.0,A validation library for .NET that uses a fluent interface to construct strongly-typed validation rules.,"600,578,220",19
Humanizer.Core,2.14.1,Humanizer core package that contains the library and the neutral language (English) resources,"562,622,495",20
coverlet.collector,6.0.4,"Coverlet is a cross platform code coverage library for .NET, with support for line, branch and method coverage.","560,385,806",21
Grpc.Core.Api,2.70.0,gRPC C# Surface API,"558,272,666",22
Serilog.Settings.Configuration,9.0.0,Microsoft.Extensions.Configuration (appsettings.json) support for Serilog.,"556,237,939",23
Serilog.Formatting.Compact,3.0.0,"A simple, compact JSON-based event format for Serilog.","555,602,893",24
Pipelines.Sockets.Unofficial,2.2.8,Package Description,"517,714,046",25
Npgsql,9.0.3,Npgsql is the open source .NET data provider for PostgreSQL.,"487,406,073",26
FluentAssertions,8.2.0,"A very extensive set of extension methods that allow you to more naturally specify the expected outcome of a TDD or
      BDD-style unit tests. Works with .NET Standard 2.0 and higher, .NET Framework 4.7 and...
More information","485,390,425",27
Serilog.Extensions.Hosting,9.0.0,Serilog support for .NET Core logging in hosted services,"467,394,176",28
Dapper,2.1.66,"A high performance Micro-ORM supporting SQL Server, MySQL, Sqlite, SqlCE, Firebird etc. Major Sponsor: Dapper Plus from ZZZ Projects.","454,596,179",29
Serilog.AspNetCore,9.0.0,Serilog support for ASP.NET Core logging,"451,973,243",30
NUnit,4.3.2,"NUnit is a unit-testing framework for all .NET languages.
            It can run on macOS, Linux and Windows operating systems.
            NUnit can be used for a wide range of testing, from unit testing with...
More information","451,670,869",31
Serilog.Sinks.Debug,3.0.0,A Serilog sink that writes log events to the debug output window.,"422,085,898",32
NLog,5.4.0,"NLog is a logging platform for .NET with rich log routing and management capabilities.
NLog supports traditional logging, structured logging and the combination of both.

Supported platforms:

- .NET 5, 6, 7, 8...
More information","404,486,057",33
RestSharp,112.1.0,Simple REST and HTTP API Client,"391,940,567",34
Grpc.Net.Common,2.70.0,Infrastructure for common functionality in gRPC,"384,402,831",35
Portable.BouncyCastle,1.9.0,"BouncyCastle portable version with support for .NET 4, .NET Standard 2.0","374,721,964",36
Autofac,8.2.0,Autofac is an IoC container for Microsoft .NET. It manages the dependencies between classes so that applications stay easy to change as they grow in size and complexity.,"374,404,900",37
Grpc.Net.Client,2.70.0,.NET client for gRPC,"363,099,686",38
AWSSDK.S3,3.7.415.28,"Amazon Simple Storage Service (Amazon S3), provides developers and IT teams with secure, durable, highly-scalable object storage.","352,792,876",39
NUnit3TestAdapter,5.0.0,"The NUnit3 TestAdapter for Visual Studio, all versions from 2012 and onwards, and DotNet (incl. .Net core), versions .net framework 4.6.2 or higher, .net core 3.1, .net 5 or higher.

      Note that this...
More information","351,897,875",40
Serilog.Sinks.PeriodicBatching,5.0.0,Buffer batches of log events to be flushed asynchronously.,"324,513,182",41
CsvHelper,33.0.1,"A library for reading and writing CSV files. Extremely fast, flexible, and easy to use. Supports reading and writing of custom class objects.","320,858,207",42
EntityFramework,6.5.1,Entity Framework 6 (EF6) is a tried and tested object-relational mapper for .NET with many years of feature development and stabilization.,"320,271,966",43
RabbitMQ.Client,7.1.2,"The RabbitMQ .NET client is the official client library for C# (and, implicitly, other .NET languages)","317,909,645",44
Google.Apis.Core,1.69.0,"The Google APIs Core Library contains the Google APIs HTTP layer, JSON support, Data-store, logging and so on.","316,034,089",45
Google.Apis,1.69.0,"The Google APIs Client Library is a runtime client for working with Google services.
The library supports service requests, media upload and download, etc.","313,129,004",46
MongoDB.Bson,3.3.0,MongoDB's Official Bson Library.,"312,472,957",47
Google.Apis.Auth,1.69.0,"The Google APIs Client Library is a runtime client for working with Google services.

This package includes auth components like user-credential, authorization code flow, etc. for making authenticated calls...
More information","309,978,245",48
JetBrains.Annotations,2024.3.0,"JetBrains.Annotations help reduce false positive warnings, explicitly declare purity and nullability in your code, deal with implicit usages of members, support special semantics of APIs in ASP.NET and XAML...
More information","307,296,326",49
